index,customer_city,order_purchase_timestamp,total_sales_x,total_revenue,total_sales_y
0,abadia dos dourados,2017-09-02,1,120.0,1
1,abadia dos dourados,2018-03-02,1,199.0,1
2,abadia dos dourados,2018-07-02,1,39.9,1
3,abadiania,2018-01-28,1,949.99,1
4,abaete,2017-05-05,1,208.9,1
5,abaete,2017-07-15,1,189.99,1
6,abaete,2017-07-31,1,65.0,1
7,abaete,2017-08-31,1,449.0,1
8,abaete,2017-11-20,1,54.16,1
9,abaete,2018-03-05,1,105.9,1
10,abaete,2018-03-27,1,47.07,1
11,abaete,2018-06-01,1,225.9,1
12,abaete,2018-06-28,1,129.0,1
13,abaete,2018-08-20,1,85.99,1
14,abaetetuba,2017-04-03,1,255.61,1
15,abaetetuba,2017-06-01,1,1500.0,1
16,abaetetuba,2017-09-05,1,29.9,1
17,abaetetuba,2017-12-01,1,580.27,1
18,abaetetuba,2018-03-10,2,70.8,2
19,abaetetuba,2018-03-22,1,39.9,1
20,abaetetuba,2018-04-18,1,29.9,1
21,abaetetuba,2018-05-16,1,797.6,1
22,abaetetuba,2018-07-16,1,49.9,1
23,abaetetuba,2018-08-01,1,134.99,1
24,abaetetuba,2018-08-03,3,539.7,3
25,abaiara,2017-11-24,1,93.9,1
26,abaiara,2018-05-11,1,169.0,1
27,abaira,2018-05-01,1,12.99,1
28,abaira,2018-08-06,1,145.0,1
29,abare,2017-08-16,1,149.0,1
30,abare,2018-05-09,1,36.19,1
31,abatia,2017-10-31,1,89.9,1
32,abatia,2017-11-26,1,27.99,1
33,abatia,2018-04-21,1,50.0,1
34,abdon batista,2017-04-18,2,125.4,2
35,abelardo luz,2017-05-15,1,29.9,1
36,abelardo luz,2017-09-29,1,29.9,1
37,abelardo luz,2017-11-22,1,388.0,1
38,abelardo luz,2017-11-29,1,59.0,1
39,abelardo luz,2018-06-23,1,119.0,1
40,abelardo luz,2018-08-01,1,53.9,1
41,abrantes,2018-03-26,1,139.0,1
42,abre campo,2017-06-09,1,109.9,1
43,abre campo,2017-09-01,1,23.8,1
44,abre campo,2017-11-29,1,25.0,1
45,abre campo,2017-12-06,1,84.99,1
46,abre campo,2017-12-14,1,37.99,1
47,abreu e lima,2017-05-14,1,59.9,1
48,abreu e lima,2017-05-15,1,56.99,1
49,abreu e lima,2017-06-07,1,56.99,1
50,abreu e lima,2017-12-06,1,618.0,1
51,abreu e lima,2017-12-12,1,139.0,1
52,abreu e lima,2018-01-19,1,49.9,1
53,abreu e lima,2018-02-01,1,84.99,1
54,abreu e lima,2018-02-07,1,117.3,1
55,abreu e lima,2018-02-15,1,17.99,1
56,abreu e lima,2018-06-25,2,499.89,2
57,abreu e lima,2018-07-22,3,676.0,3
58,acaiaca,2017-08-04,1,29.9,1
59,acaiaca,2018-07-04,1,135.0,1
60,acailandia,2017-04-13,1,50.9,1
61,acailandia,2017-06-25,1,299.99,1
62,acailandia,2017-09-04,1,179.9,1
63,acailandia,2017-11-24,1,149.0,1
64,acailandia,2018-04-25,1,28.0,1
65,acailandia,2018-06-23,1,60.0,1
66,acailandia,2018-07-31,1,170.0,1
67,acajutiba,2018-05-29,1,28.89,1
68,acarau,2017-03-11,1,29.9,1
69,acarau,2017-08-25,1,309.99,1
70,acarau,2017-10-26,2,145.8,2
71,acarau,2017-11-25,1,118.9,1
72,acarau,2018-01-28,1,214.49,1
73,acarau,2018-01-29,1,299.9,1
74,acarau,2018-08-04,1,122.99,1
75,acari,2018-05-26,1,364.0,1
76,acegua,2018-03-23,1,99.9,1
77,acegua,2018-06-04,1,110.0,1
78,acopiara,2017-05-29,1,74.99,1
79,acopiara,2017-06-13,1,102.9,1
80,acopiara,2018-01-08,1,99.0,1
81,acopiara,2018-01-09,2,94.98,2
82,acopiara,2018-02-17,1,57.9,1
83,acopiara,2018-03-26,1,18.0,1
84,acopiara,2018-04-07,1,199.9,1
85,acreuna,2017-10-10,2,43.8,2
86,acreuna,2018-01-31,1,712.5,1
87,acreuna,2018-03-18,1,53.9,1
88,acreuna,2018-03-21,1,61.45,1
89,acreuna,2018-04-08,1,18.99,1
90,acreuna,2018-06-07,1,19.99,1
91,acreuna,2018-06-10,2,159.8,2
92,acu,2017-05-05,2,349.6,2
93,acu,2017-12-12,1,105.99,1
94,acucena,2017-05-22,1,38.0,1
95,adamantina,2017-05-01,1,290.0,1
96,adamantina,2017-05-18,1,135.0,1
97,adamantina,2017-07-06,1,54.99,1
98,adamantina,2017-07-13,1,22.9,1
99,adamantina,2017-08-10,1,229.9,1
100,adamantina,2017-09-04,1,105.6,1
101,adamantina,2017-09-19,1,16.9,1
102,adamantina,2017-10-09,1,159.9,1
103,adamantina,2017-11-01,1,108.9,1
104,adamantina,2017-11-19,1,239.9,1
105,adamantina,2017-11-24,1,43.8,1
106,adamantina,2017-12-07,1,249.9,1
107,adamantina,2017-12-26,1,597.9,1
108,adamantina,2017-12-29,1,29.99,1
109,adamantina,2018-01-12,1,11.55,1
110,adamantina,2018-02-03,1,349.9,1
111,adamantina,2018-02-05,1,19.9,1
112,adamantina,2018-02-06,1,109.0,1
113,adamantina,2018-02-07,1,109.9,1
114,adamantina,2018-02-16,1,49.9,1
115,adamantina,2018-02-17,1,285.99,1
116,adamantina,2018-02-25,2,99.8,2
117,adamantina,2018-03-14,1,53.9,1
118,adamantina,2018-03-17,1,75.27,1
119,adamantina,2018-03-31,1,180.0,1
120,adamantina,2018-04-19,1,199.7,1
121,adamantina,2018-05-10,2,348.99,2
122,adamantina,2018-05-20,1,26.9,1
123,adamantina,2018-05-24,1,84.0,1
124,adamantina,2018-06-11,1,599.99,1
125,adamantina,2018-06-20,1,228.0,1
126,adamantina,2018-06-26,2,79.9,2
127,adamantina,2018-08-01,1,55.9,1
128,adamantina,2018-08-05,1,139.0,1
129,adhemar de barros,2017-11-17,1,139.0,1
130,adolfo,2017-03-19,1,69.0,1
131,adolfo,2017-09-04,1,25.9,1
132,adolfo,2017-11-24,1,204.0,1
133,adolfo,2018-01-20,1,29.9,1
134,adolfo,2018-05-15,1,45.0,1
135,adrianopolis,2017-05-29,1,73.9,1
136,adustina,2018-08-02,1,74.8,1
137,afogados da ingazeira,2017-03-31,1,378.98,1
138,afogados da ingazeira,2017-05-08,1,39.2,1
139,afogados da ingazeira,2017-08-30,1,59.9,1
140,afogados da ingazeira,2017-09-15,1,75.0,1
141,afogados da ingazeira,2018-02-12,1,599.0,1
142,afogados da ingazeira,2018-02-22,1,25.9,1
143,afogados da ingazeira,2018-06-17,1,133.0,1
144,afogados da ingazeira,2018-07-25,1,35.0,1
145,afonso claudio,2017-02-23,1,64.99,1
146,afonso claudio,2017-03-08,1,119.99,1
147,afonso claudio,2017-07-04,1,58.9,1
148,afonso claudio,2017-08-24,1,114.9,1
149,afonso claudio,2017-08-29,1,39.9,1
150,afonso claudio,2017-09-02,1,24.99,1
151,afonso claudio,2017-11-30,1,95.0,1
152,afonso claudio,2018-01-01,1,151.2,1
153,afonso claudio,2018-01-11,1,848.0,1
154,afonso claudio,2018-03-14,1,12.9,1
155,afonso claudio,2018-05-11,1,38.0,1
156,afranio,2018-07-09,1,188.0,1
157,afranio,2018-08-02,1,169.9,1
158,agisse,2017-09-27,1,43.0,1
159,agrolandia,2018-05-25,1,49.9,1
160,agronomica,2017-02-20,1,8.97,1
161,agronomica,2018-01-10,1,195.9,1
162,agua boa,2017-01-28,1,18.99,1
163,agua boa,2017-05-05,2,237.8,2
164,agua boa,2017-05-08,1,139.0,1
165,agua boa,2017-06-13,1,149.0,1
166,agua boa,2017-07-22,1,120.0,1
167,agua boa,2017-08-25,1,84.99,1
168,agua boa,2017-09-19,1,57.8,1
169,agua boa,2017-09-25,3,230.9,3
170,agua boa,2017-09-26,1,49.9,1
171,agua boa,2017-10-27,1,599.99,1
172,agua boa,2017-12-15,1,59.8,1
173,agua boa,2018-02-14,1,398.0,1
174,agua boa,2018-05-02,1,84.0,1
175,agua boa,2018-05-12,1,299.0,1
176,agua boa,2018-06-06,1,118.8,1
177,agua boa,2018-06-19,3,110.9,3
178,agua branca,2017-07-19,1,149.99,1
179,agua branca,2018-01-23,1,79.0,1
180,agua branca,2018-01-26,1,53.9,1
181,agua branca,2018-02-26,2,63.8,2
182,agua branca,2018-08-03,1,55.0,1
183,agua clara,2017-08-01,1,89.9,1
184,agua clara,2018-01-06,1,129.99,1
185,agua comprida,2017-08-18,1,28.9,1
186,agua comprida,2018-07-06,1,78.0,1
187,agua doce,2018-08-23,2,289.98,2
