index,product_category_name_english,order_purchase_timestamp,total_sold_x,total_revenue,total_sold_y
0,agro_industry_and_commerce,2017-01-23,2,43.98,2
1,agro_industry_and_commerce,2017-01-31,1,21.99,1
2,agro_industry_and_commerce,2017-02-05,1,21.99,1
3,agro_industry_and_commerce,2017-02-08,1,21.99,1
4,agro_industry_and_commerce,2017-02-12,1,92.9,1
5,agro_industry_and_commerce,2017-02-13,1,21.99,1
6,agro_industry_and_commerce,2017-02-16,1,21.99,1
7,agro_industry_and_commerce,2017-02-18,1,21.99,1
8,agro_industry_and_commerce,2017-02-21,1,21.99,1
9,agro_industry_and_commerce,2017-03-17,1,59.99,1
10,agro_industry_and_commerce,2017-03-20,1,22.0,1
11,agro_industry_and_commerce,2017-05-06,1,59.99,1
12,agro_industry_and_commerce,2017-05-08,1,589.99,1
13,agro_industry_and_commerce,2017-05-20,1,869.97,1
14,agro_industry_and_commerce,2017-05-28,1,59.99,1
15,agro_industry_and_commerce,2017-06-26,1,1390.0,1
16,agro_industry_and_commerce,2017-07-14,1,1180.0,1
17,agro_industry_and_commerce,2017-08-30,4,88.0,4
18,agro_industry_and_commerce,2017-09-05,1,398.0,1
19,agro_industry_and_commerce,2017-09-13,1,799.99,1
20,agro_industry_and_commerce,2017-09-23,2,796.0,2
21,agro_industry_and_commerce,2017-10-05,1,35.0,1
22,agro_industry_and_commerce,2017-10-10,1,22.0,1
23,agro_industry_and_commerce,2017-10-17,1,849.98,1
24,agro_industry_and_commerce,2017-10-23,1,44.3,1
25,agro_industry_and_commerce,2017-10-28,1,2399.0,1
26,agro_industry_and_commerce,2017-11-06,1,415.0,1
27,agro_industry_and_commerce,2017-11-12,1,919.99,1
28,agro_industry_and_commerce,2017-11-14,3,1211.0,3
29,agro_industry_and_commerce,2017-11-18,1,399.0,1
30,agro_industry_and_commerce,2017-11-20,1,2990.0,1
31,agro_industry_and_commerce,2017-11-22,1,398.0,1
32,agro_industry_and_commerce,2017-11-23,2,830.0,2
33,agro_industry_and_commerce,2017-11-24,7,6331.6,7
34,agro_industry_and_commerce,2017-11-28,1,398.0,1
35,agro_industry_and_commerce,2017-11-29,1,39.9,1
